load_id,report_date,load_type,load_time,load_weight,dropoff_site,route_type,route_number
336590,07/08/2009,RECYCLING - SINGLE STREAM,07/08/2009 11:51:00,4400,MRF,RECYCLING - SINGLE STREAM,DF1
274232,11/04/2008,RECYCLING - PAPER,11/04/2008 12:31:00,1920,MRF,RECYCLING - SINGLE STREAM,DF1
312167,16/01/2009,RECYCLING - SINGLE STREAM,16/01/2009 12:58:00,4140,MRF,RECYCLING - SINGLE STREAM,DF1
333746,10/07/2009,RECYCLING - SINGLE STREAM,10/07/2009 11:21:00,4020,MRF,RECYCLING - SINGLE STREAM,DF1
164543,03/02/2006,RECYCLING - COMINGLE,03/02/2006 12:36:00,1700,MRF,RECYCLING - SINGLE STREAM,DF1
273360,04/04/2008,RECYCLING - COMINGLE,04/04/2008 12:22:00,2120,MRF,RECYCLING - SINGLE STREAM,DF1
181228,02/06/2006,RECYCLING - PAPER,02/06/2006 12:03:00,2000,MRF,RECYCLING - SINGLE STREAM,DF1
317354,27/02/2009,RECYCLING - SINGLE STREAM,27/02/2009 2:28:00,1320,MRF,RECYCLING - SINGLE STREAM,DF1
357563,12/02/2010,RECYCLING - SINGLE STREAM,12/02/2010 9:11:00,5800,MRF,RECYCLING - SINGLE STREAM,DF1
364997,16/04/2010,RECYCLING - SINGLE STREAM,16/04/2010 1:02:00,1480,MRF,RECYCLING - SINGLE STREAM,DF1
291444,01/08/2008,RECYCLING - PAPER,01/08/2008 2:16:00,880,MRF,RECYCLING - SINGLE STREAM,DF1
274231,11/04/2008,RECYCLING - COMINGLE,11/04/2008 12:40:00,2160,MRF,RECYCLING - SINGLE STREAM,DF1
129445,06/05/2005,RECYCLING - PAPER,06/05/2005 12:12:00,2040,MRF,RECYCLING - SINGLE STREAM,DF1
384158,08/10/2010,RECYCLING - SINGLE STREAM,08/10/2010 6:53:00,4900,MRF,RECYCLING - SINGLE STREAM,DF1
343401,09/10/2009,RECYCLING - SINGLE STREAM,09/10/2009 11:18:00,8060,MRF,RECYCLING - SINGLE STREAM,DF1
294484,29/08/2008,RECYCLING - COMINGLE,29/08/2008 2:06:00,640,MRF,RECYCLING - SINGLE STREAM,DF1
326106,08/05/2009,RECYCLING - SINGLE STREAM,08/05/2009 12:47:00,4160,MRF,RECYCLING - SINGLE STREAM,DF1
111542,24/12/2004,RECYCLING - PAPER,24/12/2004 9:46:00,1360,MRF,RECYCLING - SINGLE STREAM,DF1
185602,07/07/2006,RECYCLING - PAPER,07/07/2006 11:58:00,1660,MRF,RECYCLING - SINGLE STREAM,DF1
223167,13/04/2007,RECYCLING - COMINGLE,13/04/2007 10:22:00,2060,MRF,RECYCLING - SINGLE STREAM,DF1
344977,23/10/2009,RECYCLING - SINGLE STREAM,23/10/2009 9:09:00,4460,MRF,RECYCLING - SINGLE STREAM,DF1
127034,22/04/2005,RECYCLING - COMINGLE,22/04/2005 12:25:00,1920,MRF,RECYCLING - SINGLE STREAM,DF1
343402,09/10/2009,RECYCLING - SINGLE STREAM,09/10/2009 2:59:00,6400,MRF,RECYCLING - SINGLE STREAM,DF1
306263,29/11/2008,RECYCLING - SINGLE STREAM,29/11/2008 10:00:00,4560,MRF,RECYCLING - SINGLE STREAM,DF1
387265,05/11/2010,RECYCLING - SINGLE STREAM,05/11/2010 2:06:00,6440,MRF,RECYCLING - SINGLE STREAM,DF1
212827,26/01/2007,RECYCLING - PAPER,26/01/2007 11:09:00,2780,MRF,RECYCLING - SINGLE STREAM,DF1
294483,29/08/2008,RECYCLING - PAPER,29/08/2008 10:32:00,2200,MRF,RECYCLING - SINGLE STREAM,DF1
358107,19/02/2010,RECYCLING - SINGLE STREAM,19/02/2010 1:23:00,5580,MRF,RECYCLING - SINGLE STREAM,DF1
147396,30/09/2005,RECYCLING - PAPER,30/09/2005 11:32:00,2120,MRF,RECYCLING - SINGLE STREAM,DF1
254303,30/11/2007,RECYCLING - PAPER,30/11/2007 1:16:00,740,MRF,RECYCLING - SINGLE STREAM,DF1
349503,04/12/2009,RECYCLING - SINGLE STREAM,04/12/2009 1:35:00,4880,MRF,RECYCLING - SINGLE STREAM,DF1
266770,22/02/2008,RECYCLING - PAPER,22/02/2008 12:00:00,1380,MRF,RECYCLING - SINGLE STREAM,DF1
138645,15/07/2005,RECYCLING - COMINGLE,15/07/2005 12:03:00,1580,MRF,RECYCLING - SINGLE STREAM,DF1
373107,25/06/2010,RECYCLING - SINGLE STREAM,25/06/2010 1:40:00,700,MRF,RECYCLING - SINGLE STREAM,DF1
347993,20/11/2009,RECYCLING - SINGLE STREAM,20/11/2009 11:30:00,5800,MRF,RECYCLING - SINGLE STREAM,DF1
185601,07/07/2006,RECYCLING - COMINGLE,07/07/2006 12:02:00,1860,MRF,RECYCLING - SINGLE STREAM,DF1
140507,05/08/2005,RECYCLING - PAPER,05/08/2005 12:25:00,2020,MRF,RECYCLING - SINGLE STREAM,DF1
247415,12/10/2007,RECYCLING - COMINGLE,12/10/2007 3:34:00,1140,MRF,RECYCLING - SINGLE STREAM,DF1
156654,10/12/2005,RECYCLING - COMINGLE,10/12/2005 11:49:00,1580,MRF,RECYCLING - SINGLE STREAM,DF1
296032,05/09/2008,RECYCLING - PAPER,05/09/2008 10:43:00,1260,MRF,RECYCLING - SINGLE STREAM,DF1
257621,21/12/2007,RECYCLING - PAPER,21/12/2007 1:32:00,1920,MRF,RECYCLING - SINGLE STREAM,DF1
386139,22/10/2010,RECYCLING - SINGLE STREAM,22/10/2010 5:20:00,4180,MRF,RECYCLING - SINGLE STREAM,DF1
116166,28/01/2005,RECYCLING - COMINGLE,28/01/2005 10:03:00,2100,MRF,RECYCLING - SINGLE STREAM,DF1
384324,01/10/2010,RECYCLING - SINGLE STREAM,01/10/2010 1:43:00,6040,MRF,RECYCLING - SINGLE STREAM,DF1
330920,19/06/2009,RECYCLING - SINGLE STREAM,19/06/2009 9:05:00,4200,MRF,RECYCLING - SINGLE STREAM,DF1
116992,04/02/2005,RECYCLING - COMINGLE,04/02/2005 9:54:00,1600,MRF,RECYCLING - SINGLE STREAM,DF1
196088,08/09/2006,RECYCLING - COMINGLE,08/09/2006 12:08:00,1580,MRF,RECYCLING - SINGLE STREAM,DF1
260573,11/01/2008,RECYCLING - COMINGLE,11/01/2008 12:07:00,1860,MRF,RECYCLING - SINGLE STREAM,DF1
276142,18/04/2008,RECYCLING - COMINGLE,18/04/2008 12:41:00,1980,MRF,RECYCLING - SINGLE STREAM,DF1
378020,06/08/2010,RECYCLING - SINGLE STREAM,06/08/2010 1:25:00,7180,MRF,RECYCLING - SINGLE STREAM,DF1
371304,04/06/2010,RECYCLING - SINGLE STREAM,04/06/2010 4:29:00,480,MRF,RECYCLING - SINGLE STREAM,DF1
141154,12/08/2005,RECYCLING - PAPER,12/08/2005 1:46:00,1140,MRF,RECYCLING - SINGLE STREAM,DF1
266158,15/02/2008,RECYCLING - COMINGLE,15/02/2008 12:25:00,2040,MRF,RECYCLING - SINGLE STREAM,DF1
173694,14/04/2006,RECYCLING - COMINGLE,14/04/2006 12:14:00,1860,MRF,RECYCLING - SINGLE STREAM,DF1
366059,23/04/2010,RECYCLING - SINGLE STREAM,23/04/2010 12:12:00,5360,MRF,RECYCLING - SINGLE STREAM,DF1
166908,24/02/2006,RECYCLING - COMINGLE,24/02/2006 12:26:00,1720,MRF,RECYCLING - SINGLE STREAM,DF1
213548,02/02/2007,RECYCLING - COMINGLE,02/02/2007 10:59:00,1800,MRF,RECYCLING - SINGLE STREAM,DF1
288874,18/07/2008,RECYCLING - COMINGLE,18/07/2008 1:33:00,540,MRF,RECYCLING - SINGLE STREAM,DF1
349504,04/12/2009,RECYCLING - SINGLE STREAM,04/12/2009 3:28:00,3420,MRF,RECYCLING - SINGLE STREAM,DF1
